"Action successful","Akcija uspješna"
"Action failed","Akcija neuspješna
"Processing error","Greška prilikom obrade"
"Action canceled","Akcija otkazana"
"Action failed (3D Secure MPI)","Akcija neuspješna (3D Secure MPI)"
"Authorization not found","Autorizacija nije pronađena"
"HT PayWay message: %s.","HT PayWay poruka: %s."
"This order no longer exists.", "Ova narudžba više ne postoji."
"You will be redirected to HT PayWay website when you place an order.","Biti ćete preusmjereni na HT PayWay stranicu nakon narudžbe."
"You will be redirected to the HT PayWay website in a few seconds.","Biti ćete preusmjereni na HT PayWay stranicu za nekoliko sekundi."
"Redirecting..", "Preusmjeravanje.."